ds,temp_mean,temp_min,temp_max,precip
1974-03-18 18:30:00,7.9629793,2.7978752,14.197875,0.0
1974-03-19 18:30:00,9.422354,4.404125,15.541625,0.0
1974-03-20 18:30:00,9.011937,3.4103749,15.235374,0.0
1974-03-21 18:30:00,8.455166,3.197875,15.054125,0.0
1974-03-22 18:30:00,7.7137604,4.029125,12.272875,9.4125
1974-03-23 18:30:00,7.992407,4.1291246,12.472875,4.15
1974-03-24 18:30:00,7.1921453,2.279125,12.522875,0.1125
1974-03-25 18:30:00,7.5325108,1.6353749,14.222875,0.0
1974-03-26 18:30:00,8.115063,2.2478747,14.516624,0.0
1974-03-27 18:30:00,7.364542,2.6791248,13.004125,5.1124997
1974-03-28 18:30:00,8.483812,3.9416249,13.672874,2.4625
1974-03-29 18:30:00,9.05152,3.110375,15.779125,0.0375
1974-03-30 18:30:00,8.7629795,3.5041249,14.554125,2.8875
1974-03-31 18:30:00,10.221834,5.216625,16.054125,1.4499999
1974-04-01 18:30:00,10.603603,4.710375,17.222874,3.0624998
1974-04-02 18:30:00,8.634073,4.941625,13.985375,12.5
1974-04-03 18:30:00,9.256208,4.2166247,14.641624,2.1750002
1974-04-04 18:30:00,9.148135,2.2291248,15.554125,0.18750001
1974-04-05 18:30:00,9.206989,3.697875,15.597876,0.47499996
1974-04-06 18:30:00,9.352563,3.191625,15.485374,0.23750001
1974-04-07 18:30:00,7.1593337,3.2103748,10.929125,13.450001
1974-04-08 18:30:00,8.356468,2.5291247,14.366626,1.15
1974-04-09 18:30:00,9.114802,2.1916249,15.904125,0.025
1974-04-10 18:30:00,10.271572,2.347875,17.860374,0.0
1974-04-11 18:30:00,11.706469,3.8666248,19.329124,0.0125
1974-04-12 18:30:00,12.7317295,5.491625,20.172874,0.025
1974-04-13 18:30:00,12.6119375,6.516625,19.816624,3.6000004
1974-04-14 18:30:00,13.329386,6.3916254,20.110374,2.1499999
1974-04-15 18:30:00,13.710376,8.391624,19.341625,2.0249999
1974-04-16 18:30:00,13.084854,8.722875,17.610374,2.6375
1974-04-17 18:30:00,13.33824,6.3416247,20.047874,0.6375
1974-04-18 18:30:00,12.845271,5.322875,19.960375,0.075
1974-04-19 18:30:00,13.504645,5.185375,21.185375,0.025
1974-04-20 18:30:00,13.510115,6.022875,20.391624,0.1375
1974-04-21 18:30:00,13.803344,9.435375,19.497875,1.7375
1974-04-22 18:30:00,13.778865,7.422875,20.197874,1.3875
1974-04-23 18:30:00,14.094229,5.1166253,22.047874,0.0
1974-04-24 18:30:00,15.240063,6.216625,23.216625,0.0
1974-04-25 18:30:00,15.979907,7.854125,23.472876,0.28750002
1974-04-26 18:30:00,15.011677,8.810375,21.522875,2.5375
1974-04-27 18:30:00,13.613239,9.216625,18.479124,8.225
1974-04-28 18:30:00,14.2309475,8.322875,19.947874,2.3999999
1974-04-29 18:30:00,14.26376,7.5291247,20.247873,3.3
1974-04-30 18:30:00,14.714282,6.491625,21.460375,0.98749995
1974-05-01 18:30:00,15.049957,7.516625,21.741625,1.2875
1974-05-02 18:30:00,14.730687,8.422874,20.672874,3.7625003
1974-05-03 18:30:00,15.202042,6.0166254,22.679125,0.0
1974-05-04 18:30:00,15.736156,7.1541247,22.391624,0.05
1974-05-05 18:30:00,15.840323,8.479125,22.422874,0.1625
1974-05-06 18:30:00,17.023396,8.697875,24.266624,0.2
1974-05-07 18:30:00,17.90829,10.935375,24.585375,0.75
1974-05-08 18:30:00,15.941103,11.454125,20.916624,7.5875006
1974-05-09 18:30:00,15.352562,10.991625,19.979124,5.3
1974-05-10 18:30:00,16.004124,8.729125,22.197874,1.2125001
1974-05-11 18:30:00,16.530167,10.141624,22.529125,1.8999999
1974-05-12 18:30:00,15.808291,11.379126,21.047874,5.2999997
1974-05-13 18:30:00,15.409594,10.629126,20.629124,4.3875003
1974-05-14 18:30:00,14.189801,10.347875,18.391624,8.3875
1974-05-15 18:30:00,14.048136,8.185375,18.997875,6.4249997
1974-05-16 18:30:00,14.145011,9.779125,18.541624,9.3625
1974-05-17 18:30:00,13.914803,9.310375,18.416624,7.2375
1974-05-18 18:30:00,13.429646,8.160375,18.779125,4.525
1974-05-19 18:30:00,14.749437,8.785375,20.566624,3.2875
1974-05-20 18:30:00,14.347875,7.9916253,20.222876,3.9375
1974-05-21 18:30:00,15.084855,8.410376,21.241625,1.35
1974-05-22 18:30:00,15.10725,8.185375,21.197874,2.0125
1974-05-23 18:30:00,16.242928,8.879126,22.329124,0.7125
1974-05-24 18:30:00,17.283552,9.472876,24.004124,0.4
1974-05-25 18:30:00,16.199177,10.772875,21.472874,5.775
1974-05-26 18:30:00,15.931728,10.254126,20.991625,5.8
1974-05-27 18:30:00,16.424437,9.104125,22.616625,3.3
1974-05-28 18:30:00,17.38876,11.104125,23.541624,1.3375
1974-05-29 18:30:00,18.399178,11.885375,24.397875,2.8
1974-05-30 18:30:00,18.299437,11.766625,24.091625,2.425
1974-05-31 18:30:00,18.128084,10.810375,24.341625,3.7
1974-06-01 18:30:00,18.224699,12.597876,23.622875,3.3249998
1974-06-02 18:30:00,18.521833,12.691625,23.529125,1.5125
1974-06-03 18:30:00,19.92704,11.879126,26.810373,0.41250002
1974-06-04 18:30:00,19.564281,12.935375,25.966625,2.8
1974-06-05 18:30:00,15.9973545,13.554125,19.516624,11.5
1974-06-06 18:30:00,15.971052,10.141625,20.766624,4.8999996
1974-06-07 18:30:00,16.173656,10.060375,21.354124,1.9375
1974-06-08 18:30:00,16.629644,10.522875,21.691624,2.05
1974-06-09 18:30:00,17.311417,10.772875,22.947874,2.9250002
1974-06-10 18:30:00,17.235636,11.616625,21.929125,2.675
1974-06-11 18:30:00,18.370792,10.810375,24.416624,1.7375001
1974-06-12 18:30:00,19.537197,11.729125,26.660376,0.025
1974-06-13 18:30:00,21.510376,13.160375,28.285376,0.5375
1974-06-14 18:30:00,21.780949,13.604125,28.235374,0.125
1974-06-15 18:30:00,21.937717,14.466625,28.122875,0.2625
1974-06-16 18:30:00,22.37001,15.597876,28.129124,0.15
1974-06-17 18:30:00,21.820791,15.516624,27.791624,0.58750004
1974-06-18 18:30:00,21.180428,15.191626,26.810375,2.05
1974-06-19 18:30:00,20.40074,14.579125,26.391624,5.8
1974-06-20 18:30:00,19.507511,14.735374,24.179125,3.9125001
1974-06-21 18:30:00,18.493969,13.466625,23.710375,4.9375
1974-06-22 18:30:00,15.845011,13.085375,19.104124,16.4625
1974-06-23 18:30:00,13.530948,10.972876,16.391624,19.300001
1974-06-24 18:30:00,14.723396,9.716625,19.685375,5.7125
1974-06-25 18:30:00,16.228344,9.654125,21.722874,1.1500001
1974-06-26 18:30:00,17.842407,10.316625,24.210375,0.63750005
1974-06-27 18:30:00,19.728083,11.916625,26.122873,0.1
1974-06-28 18:30:00,20.67626,13.022875,26.854124,0.0625
1974-06-29 18:30:00,21.46324,14.172875,27.566624,0.10000001
1974-06-30 18:30:00,22.016624,15.341625,27.741623,0.3375
1974-07-01 18:30:00,21.203604,15.529125,26.441624,2.2375002
1974-07-02 18:30:00,19.00126,14.410376,23.779125,4.9125
1974-07-03 18:30:00,16.245531,12.941626,18.554125,15.9125
1974-07-04 18:30:00,17.590584,10.841625,23.166626,2.225
1974-07-05 18:30:00,19.289282,12.216625,25.010374,0.22500001
1974-07-06 18:30:00,20.523657,12.897875,26.616625,0.31250003
1974-07-07 18:30:00,20.812199,14.091625,26.447874,0.6
1974-07-08 18:30:00,21.158293,14.772876,26.541624,0.7625
1974-07-09 18:30:00,21.13772,16.147875,25.597876,3.5
1974-07-10 18:30:00,20.76975,16.604126,24.879126,5.4125
1974-07-11 18:30:00,20.455687,16.272875,25.172874,6.7125006
1974-07-12 18:30:00,20.659594,16.691626,24.972874,6.3000007
1974-07-13 18:30:00,21.690062,16.435375,26.535374,2.5500002
1974-07-14 18:30:00,21.58251,18.235374,25.241625,6.8999996
1974-07-15 18:30:00,20.48251,17.710375,23.797874,13.825001
1974-07-16 18:30:00,20.599176,18.085375,24.266624,10.275
1974-07-17 18:30:00,20.867666,17.922874,25.191626,12.325
1974-07-18 18:30:00,20.34475,17.179125,24.185375,11.575
1974-07-19 18:30:00,19.981468,16.791626,23.922874,23.4
1974-07-20 18:30:00,20.81402,16.716625,25.079124,5.2125
1974-07-21 18:30:00,21.696312,18.366625,25.516624,6.2625
1974-07-22 18:30:00,20.691364,17.754126,24.304125,22.7375
1974-07-23 18:30:00,19.605947,17.597876,22.366625,25.537498
1974-07-24 18:30:00,19.166103,16.366625,22.804125,9.05
1974-07-25 18:30:00,19.442146,14.191625,24.229126,3.175
1974-07-26 18:30:00,19.827564,14.441625,24.360374,1.0375
1974-07-27 18:30:00,20.239801,13.516625,25.529125,0.95
1974-07-28 18:30:00,20.955687,14.691625,26.091625,0.47500002
1974-07-29 18:30:00,20.993969,14.985374,25.885374,0.6875
1974-07-30 18:30:00,21.21246,16.172874,25.685375,1.9499998
1974-07-31 18:30:00,21.380167,17.791626,24.635376,17.900002
1974-08-01 18:30:00,21.83746,18.110374,25.891624,3.1375
1974-08-02 18:30:00,21.81246,18.591625,25.666624,18.6125
1974-08-03 18:30:00,21.071571,18.310375,24.766624,18.1625
1974-08-04 18:30:00,20.4385,17.897875,23.379126,26.625002
1974-08-05 18:30:00,19.571833,15.785375,23.304125,5.125
1974-08-06 18:30:00,19.486937,14.929125,23.854124,4.0625
1974-08-07 18:30:00,20.298395,14.310375,25.447874,0.9250001
